Dezernat/ Fachbereich 5,Budget Stadtentwicklung,,,verantwortlich:,Herr Kramer
Produktklasse 5,Gestaltung der Umwelt,,,verantwortlich:,Dezernent II
Produktbereich 5.4,"Verkehrsflächen und -anlagen, ÖPNV",,,zuständig:,Herr Sieber
Produktgruppe 5.4.5,Straßenreinigung,,,Produktart:,externes Produkt
Produkt 5.4.5.02,Straßenbeleuchtung,,,Rechtsbindung:,Pflichtaufgabe
Beschreibung,,,,,
"Errichtung, Instandhaltung und investive Erweiterungen sowie Betreibung der Straßenbeleuchtung",,,,,
Auftrag,,Zielgruppe,,,
Kommunale Verkehrssicherungspflicht und Straßenbeleuchtungsvertrag,,Alle Einwohner und Gäste der Stadt,,,
Ziele,,,,,
Kommunale Verkehrssicherungspflicht,,,,,
Leistung,,,,,
"-notwendige Planungen und Abstimmungen mit Stadtwerken, Kontrollen, Abnahmen, Abrechnungen sowie Vertragsverhandlungen",,,,,
