Dezernat/ Fachbereich 4,Budget Bürgerservice,,verantwortlich:,Herr Dorff
Produktklasse 1,Zentrale Verwaltung,,verantwortlich:,Dezernent I
Produktbereich 1.2,Sicherheit und Ordnung,,zuständig:,Herr Treuthardt
Produktgruppe 1.2.6,Brandschutz,,Produktart:,externes Produkt
Produkt 1.2.6.01,Brandschutz,,Rechtsbindung:,Pflichtaufgabe
Beschreibung,,,,
Brandschutz und Hilfeleistungen bei Notfällen,,,,
Auftrag,,Zielgruppe,,
"Bundes-, Landes- und Ortsrecht; Ratsbeschlüsse",,"Menschen, Tiere, Gebäude und andere Sachwerte",,
Ziele,,,,
"Schutz der Bevölkerung vor den Auswirkungen von Bränden, Notsituationen und Katastrophen",,,,
Leistung,,,,
"-Ausstattung und Bereitstellung von Feuerwehreinsatzfahrzeugen und Gerätschaften zur Alarmierung,Brandbekämpfung und Hilfeleistung -Präventive Brandschutzmaßnahmen -Abrechnung der kostenpflichtigen",,,,
Einsätze -Aufstellung von Alarm- und Einsatzplänen -Jugendfeuerwehr -Tierrettung -Fundtiere,,,,
