Dezernat/ Fachbereich 3,Budget Betriebsbereiche,,,verantwortlich: Herr Kramer
Produktklasse 1,Zentrale Verwaltung,,,verantwortlich: Dezernent II
Produktbereich 1.1,Innere Verwaltung,,,zuständig: Herr T. Friedrich
Produktgruppe 1.1.1,Verwaltungssteuerung und -service,,,Produktart: externes Produkt
Produkt 1.1.1.12,Dienstleistungen für Dritte (Bauhof),,,Rechtsbindung: Freiwillige Aufgabe
Beschreibung,,,,
Bereitstellung eines Recyclinghofes und Handwerkerleistungen,,,,
Auftrag,,,Zielgruppe,
Privatrechtliche Verträge und Auftragserteilung,,,"Gesellschaften der Stadt, private Unternehmen, Bürger und Bürgerinnen der Stadt Wernigerode",
Ziele,,,,
Bereitstellung des Recyclinghofes und von Dienstleistungen,,,,
Leistung,,,,
Dienstleistungen für Dritte durch den Bauhof,,,,
