Dezernat/ Fachbereich 2,Budget Finanzen,verantwortlich:,,Frau Leo
Produktklasse 5,Gestaltung der Umwelt,verantwortlich:,,Amt für Finanzwesen
Produktbereich 5.3,Ver-und Entsorgung,zuständig:,,Frau Leo
Produktgruppe 5.3.4,Fernwärmeversorgung,Produktart:,,externes Produkt
Produkt 5.3.4.01,Fernwärmeversorgung (Konzessionsabgabe),Rechtsbindung:,,Pflichtaufgabe
Beschreibung,,,,
Sicherung der Wärmeversorgung der Haushalte der Stadt durch Fernwärme und entsprechende Wegenutzungsrechte für die dazu benötigten Leistungen,,,,
Auftrag,,Zielgruppe,,
Beschluss des Stadrates (43/2011) vom 09.06.2011 und abgeschlossener KAV,,"EinwohnerInnen, Fernwärmeversorger",,
"",,,,
Ziele,,,,
Versorgungssicherheit und Sicherung kommunaler Einnahmen,,,,
Leistung,,,,
"-Vergabeverfahren -Abschluss und Aktualisierung von Konzessionsverträgen -Abrechnung Konzessionsabgabe",,,,
