Dezernat/ Fachbereich 4,Budget Bürgerservice,verantwortlich:,,Herr Dorff
Produktklasse 5,Gestaltung der Umwelt,verantwortlich:,,Dezernent I
Produktbereich 5.7,Wirtschaft und Tourismus,zuständig:,,Frau Münzberg
Produktgruppe 5.7.3,Allg. Einrichtungen und Wirtschaftliche Unternehmen,Produktart:,,externes Produkt
Produkt 5.7.3.01,Allgemeine Einrichtungen und Märkte,Rechtsbindung:,,Pflicht-und Freiwillige Aufgabe
Beschreibung,,,,
Allgemeine Einrichtungen und Märkte,,,,
Auftrag,,Zielgruppe,,
"Bundes-, Landes- und Ortsrecht, Satzungsrecht",,"Gewerbetreibende, EinwohnerInnen, Gäste",,
Ziele,,,,
"Versorgung der Bevölkerung, d.h. Herstellung eine leistungsfähigen Marktes",,,,
Leistung,,,,
Wochenmarkt -Planung und Marktorganisation -Marktaufsicht Allgemeine Einrichtungen -Litfasssäulen,,,,
