Dezernat/ Fachbereich 3,Budget Betriebsbereiche,,,verantwortlich: Herr Kramer
Produktklasse 5,Gestaltung der Umwelt,,,verantwortlich: Dezernent II
Produktbereich 5.7,Wirtschaft und Tourismus,,,zuständig: Herr Kascha
Produktgruppe 5.7.5,Tourismus,,,Produktart: externes Produkt
Produkt 5.7.5.04,Schierker Feuerstein Arena,,,Rechtsbindung: Freiwillige Aufgabe
Beschreibung,,,,
Betrieb der Schierker Feuerstein Arena im Sommer-und Winterbetrieb,,,,
Auftrag,,Zielgruppe,,
"- Beschlüsse der poltischen Gremien",,EinwohnerInnen der Stadt Wernigerode und deren Ortsteilen sowie deren Gästen,,
Ziele,,,,
"Erhöhung der touristischen Wertschöpfung und Lebensqualität Nachhaltige Tourismusentwicklung,",,,,
Entwicklung von touristischen Aktivitäten,,,,
Leistung,,,,
"-Unterhaltung und Bewirtschaftung der Schierker Feuerstein Arena -Touristische Entwicklungr -Veranstaltungsangebot",,,,
